instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
960,SZ,000939,凯迪退,电力行业,2000-01-04,27.81,29,27.23,28.64,27.61,1915468,53381523.27,4.256596,2949920000,1288800000,128.88855,28.613772,20.619687,2.7,2000
961,SZ,000948,南天信息,软件开发,2000-01-04,26.3,28,26.3,27.58,26,2616779,71892793.36,6.541948,3861215224.16,1103200000,92.646094,25.100615,4.845531,3.18,2000
962,SZ,000949,新乡化纤,化纤行业,2000-01-04,8.58,8.86,8.48,8.77,8.58,778081,6784224.79,1.037441,2151155641.62,657750000,26.483943,8.073194,3.812143,1,2000
963,SZ,000950,重药控股,医药商业,2000-01-04,9.32,9.68,9.2,9.65,9.28,880968,8389929.44,1.60176,1495750000,530750000,65.437905,14.543245,3.852554,2.2,2000
964,SZ,000951,中国重汽,汽车整车,2000-01-04,6.24,6.35,6.16,6.35,6.16,1488931,9372883.65,1.838186,1612741250,514350000,52.968535,5.909853,3.166937,1.51,2000
965,SZ,000952,广济药业,化学制药,2000-01-04,11.22,11.87,11.11,11.84,11.2,2672151,30719309.54,5.938113,2027315319.04,532800000,78.744522,9.935342,12.567738,4.61,2000
966,SZ,000953,中哲精化,化学制药,2000-01-04,7.98,8.25,7.9,8.19,8.01,2206638,17870479.14,4.90364,1216336768.92,368550000,49.58668,6.251618,6.953745,1.92,2000
967,SZ,000955,欣龙控股,纺织服装,2000-01-04,11.22,11.75,11.05,11.68,11.15,1901567,21975751.45,3.841549,2394400000,578160000,77.529945,14.244683,19.598229,2.68,2000
968,SZ,000956,中原油气,石油行业,2000-01-04,6.27,6.66,6.21,6.62,6.34,4695876,30495625.05,3.249764,4501600000,956583380,27.770478,6.92592,0,2.12,2000
970,SZ,000958,电投产融,电力行业,2000-01-04,11.54,12.62,11.4,12.17,11.49,5861182,70994337.51,13.024849,2190600000,547650000,54.720403,9.707998,12.872442,1.49,2000
971,SZ,000959,首钢股份,钢铁行业,2000-01-04,5.2,5.21,5.12,5.19,5.15,2439970,12613566.43,1.394269,11988900000,908250000,14.199066,4.10478,1.362772,1.36,2000
1113,SZ,001696,宗申动力,交运设备,2000-01-04,6.13,6.51,6.13,6.42,6.33,754350,4787934.3,1.463198,878666880,330982329.6,55.136591,4.309733,9.240729,1.03,2000
1114,SZ,001872,招商港口,航运港口,2000-01-04,7.5,7.79,7.44,7.75,7.51,187513,1434079.3,0.3706,2956756750,392150000,49.189734,2.829123,8.91396,1.68,2000
1115,SZ,001896,豫能控股,电力行业,2000-01-04,7.38,7.63,7.36,7.56,7.4,325850,2455395,0.40772,3250800000,604195200,21.34446,3.527294,6.932073,1.87,2000
1116,SZ,001914,招商积余,房地产服务,2000-01-04,8.67,8.9,8.55,8.88,8.66,173839,1525274.1,0.4751,1237210191.36,324912806.4,51.214823,2.611803,1.758526,2.28,2000
3569,SH,600001,邯郸钢铁,钢铁行业,2000-01-04,7.24,7.36,7.18,7.35,7.23,1445114,10538706,0.375354,10036484535,2829750000,13.901806,2.256336,0,1.55,2000
3570,SH,600002,齐鲁石化,石油行业,2000-01-04,4.38,4.44,4.32,4.43,4.35,962992,4234402,0.275333,8638500000,1549419080,22.734397,1.956656,0,1.04,2000
3571,SH,600003,ST东北高,铁路公路,2000-01-04,5.02,5.2,4.98,5.17,5.02,1752356,8895486,0.584119,6272244000,1551000000,43.793531,3.256546,0,1.62,2000
3573,SH,600005,武钢股份,钢铁行业,2000-01-04,4.53,4.59,4.49,4.59,4.53,1200733,5461523,0.375229,9595303200,1468800000,17.216779,2.862995,1.908385,1.12,2000
3574,SH,600006,东风股份,汽车整车,2000-01-04,4.95,5.05,4.86,4.99,4.9,1950447,9665307,0.650149,4990000000,1497000000,20.812511,2.072017,1.443476,1.32,2000
3575,SH,600007,中国国贸,房地产开发,2000-01-04,6.95,7.11,6.78,7.11,6.84,667850,4689436,0.417406,5688000000,1137600000,22.114312,2.833124,7.717429,1.18,2000
3606,SH,600051,宁波联合,综合行业,2000-01-04,8,8.15,7.95,8.09,7.95,241226,1945470,0.319082,2446416000,611604000,86.769458,2.903575,1.640177,1.22,2000
3607,SH,600052,东望时代,公用事业,2000-01-04,13.95,15.13,13.8,15.13,13.75,10688294,160081181,13.05042,4270291200,1239147000,64.015094,7.820236,3.141398,5.62,2000
3608,SH,600053,*ST九鼎,多元金融,2000-01-04,7.9,8.1,7.83,8.08,7.88,167348,1335650,0.286065,1102920000,472680000,25.861311,2.598007,4.793128,0.6,2000
3609,SH,600054,黄山旅游,旅游酒店,2000-01-04,11.2,11.29,11,11.25,11.27,96790,1084919,0.186135,3407625000,585000000,38.765535,4.943024,12.779094,0.81,2000
3610,SH,600055,万东医疗,医疗器械,2000-01-04,10.35,10.58,10.2,10.58,10.3,150713,1572574,0.388396,1174380000,410545896.8,30.940728,4.824515,6.016108,1.51,2000
3612,SH,600057,厦门象屿,物流行业,2000-01-04,12.75,13.2,12.55,13.06,12.65,961482,12458048,0.667696,4678092000,1880640000,22.437067,7.863092,3.071093,2.04,2000
3613,SH,600058,五矿发展,贸易行业,2000-01-04,13.37,13.85,13.16,13.72,13.39,2188621,29890661,1.826873,5818497101.2,1643676580,27.221118,3.349165,0.702604,0.64,2000
3614,SH,600059,古越龙山,酿酒行业,2000-01-04,11.75,12.14,11.75,12,11.73,330019,3962019,0.403528,2472000000,981400752,34.344021,4.696851,6.333571,0.96,2000
3615,SH,600060,海信视像,家电行业,2000-01-04,10.89,11.15,10.66,11.14,10.78,683458,7509107,0.536466,4617434998.08,1419236000,34.482474,3.60932,1.694983,2.15,2000
3617,SH,600062,华润双鹤,化学制药,2000-01-04,9.6,9.98,9.4,9.83,9.66,307337,2981104,0.363865,2311524500,830287411.2,25.615499,3.99115,4.405424,0.99,2000
3618,SH,600063,皖维高新,化纤行业,2000-01-04,8.18,8.57,8.18,8.54,8.15,1961289,16616482,2.334868,2008608000,717360000,44.013859,4.106032,6.597544,2.5,2000
3619,SH,600064,南京高科,房地产开发,2000-01-04,16.17,16.7,16.02,16.43,16.1,1008975,16613723,0.778692,5654316939.84,2128884390,23.878584,4.718749,5.769962,2.33,2000
3620,SH,600065,*ST联谊,石油行业,2000-01-04,10.46,10.8,10.45,10.73,10.25,291050,3102317,0.5821,1716800000,536500000,973.292834,2.194998,5.361442,1.62,2000
