strategy,tradeDate,count,grossReturn,grossTradedNotional,oneWayTurnover,cost,netReturn
仅规模,2016-07-25,100,-0.010881488984574807,0.06,0.03,8.999999999999999e-05,-0.010971488984574807
仅规模,2016-08-01,100,0.023109742766395876,0.08,0.04,0.00012,0.022989742766395878
仅规模,2016-08-08,100,0.03333951977625189,0.12,0.06,0.00017999999999999998,0.03315951977625189
仅规模,2016-08-15,100,-0.012671239262847698,0.08,0.04,0.00012,-0.012791239262847698
仅规模,2016-08-22,100,-0.007452107437766271,0.1,0.05,0.00015000000000000001,-0.007602107437766271
仅规模,2016-08-29,100,-0.00520491426132056,0.16,0.08,0.00024,-0.00544491426132056
仅规模,2016-09-05,100,-0.01332054994962014,0.12,0.06,0.00017999999999999998,-0.01350054994962014
仅规模,2016-09-12,100,-0.002800400970849334,0.06,0.03,8.999999999999999e-05,-0.0028904009708493337
仅规模,2016-09-21,100,-0.0125066826089384,0.06,0.03,8.999999999999999e-05,-0.0125966826089384
仅规模,2016-09-28,100,0.02475551372832969,0.06,0.03,8.999999999999999e-05,0.02466551372832969
仅规模,2016-10-12,100,0.014296806333867523,0.06,0.03,8.999999999999999e-05,0.014206806333867523
仅规模,2016-10-19,100,0.011492832260157088,0.08,0.04,0.00012,0.011372832260157088
仅规模,2016-10-26,100,-0.012664934001061185,0.14,0.07,0.00021000000000000004,-0.012874934001061185
仅规模,2016-11-02,100,0.00892903462801257,0.14,0.07,0.00021000000000000004,0.00871903462801257
仅规模,2016-11-09,100,0.031384817073950445,0.08,0.04,0.00012,0.03126481707395044
仅规模,2016-11-16,100,0.00853021060841539,0.04,0.02,6e-05,0.008470210608415392
仅规模,2016-11-23,100,0.021176739724191308,0.1,0.05,0.00015000000000000001,0.021026739724191307
仅规模,2016-11-30,100,-0.017414621160723728,0.04,0.02,6e-05,-0.01747462116072373
仅规模,2016-12-07,100,-0.033502802134148336,0.04,0.02,6e-05,-0.033562802134148334
仅规模,2016-12-14,100,0.005106392241832362,0.08,0.04,0.00012,0.0049863922418323615
仅规模,2016-12-21,100,-0.011240486728174497,0.04,0.02,6e-05,-0.011300486728174497
仅规模,2016-12-28,100,0.02410280999085189,0.06,0.03,8.999999999999999e-05,0.02401280999085189
仅规模,2017-01-05,100,-0.01347796561965246,0.08,0.04,0.00012,-0.01359796561965246
仅规模,2017-01-12,100,0.0001999768584140471,0.06,0.03,8.999999999999999e-05,0.00010997685841404711
仅规模,2017-01-19,100,0.01768838259160472,0.04,0.02,6e-05,0.017628382591604718
仅规模,2017-01-26,100,0.008363023056538396,0.04,0.02,6e-05,0.008303023056538397
仅规模,2017-02-09,100,0.024338699975258712,0.02,0.01,3e-05,0.024308699975258714
仅规模,2017-02-16,100,0.009456721117924494,0.02,0.01,3e-05,0.009426721117924494
仅规模,2017-02-23,100,-0.010312188084268765,0.02,0.01,3e-05,-0.010342188084268766
仅规模,2017-03-02,100,-0.004326471525124479,0.06,0.03,8.999999999999999e-05,-0.0044164715251244786
仅规模,2017-03-09,100,0.016219192439551996,0.04,0.02,6e-05,0.016159192439551995
仅规模,2017-03-16,100,0.008960023089162543,0.08,0.04,0.00012,0.008840023089162543
仅规模,2017-03-23,100,-0.0077213884722129025,0.08,0.04,0.00012,-0.007841388472212902
仅规模,2017-03-30,100,0.02923406122022333,0.08,0.04,0.00012,0.029114061220223333
仅规模,2017-04-10,100,-0.0044383283676117016,0.14,0.07,0.00021000000000000004,-0.004648328367611702
仅规模,2017-04-17,100,-0.020725301837795414,0.08,0.04,0.00012,-0.020845301837795413
仅规模,2017-04-24,100,0.0020343886872585615,0.12,0.06,0.00017999999999999998,0.0018543886872585615
仅规模,2017-05-02,100,-0.024513655749739627,0.18,0.09,0.00027,-0.024783655749739626
仅规模,2017-05-09,100,0.018452526858203356,0.04,0.02,6e-05,0.018392526858203355
仅规模,2017-05-16,100,-0.004478257530324402,0.02,0.01,3e-05,-0.0045082575303244015
仅规模,2017-05-23,100,0.010297814192938563,0.04,0.02,6e-05,0.010237814192938564
仅规模,2017-06-01,100,0.027319029635542037,0.02,0.01,3e-05,0.02728902963554204
仅规模,2017-06-08,100,-0.0031981014603161308,0.08,0.04,0.00012,-0.0033181014603161306
仅规模,2017-06-15,100,0.010815052186326994,0.06,0.03,8.999999999999999e-05,0.010725052186326994
仅规模,2017-06-22,100,0.02484600418203404,0.04,0.02,6e-05,0.024786004182034038
仅规模,2017-06-29,100,0.0018936299088332842,0.02,0.01,3e-05,0.0018636299088332841
仅规模,2017-07-06,100,-0.0006993142929006146,0.04,0.02,6e-05,-0.0007593142929006147
仅规模,2017-07-13,100,0.017282748254257407,0.04,0.02,6e-05,0.017222748254257406
仅规模,2017-07-20,100,-0.0074850410141737685,0.08,0.04,0.00012,-0.007605041014173769
仅规模,2017-07-27,100,0.007908682896057092,0.06,0.03,8.999999999999999e-05,0.007818682896057092
仅规模,2017-08-03,100,0.0030548132314958255,0.08,0.04,0.00012,0.0029348132314958256
仅规模,2017-08-10,100,0.004258901500822513,0.06,0.03,8.999999999999999e-05,0.004168901500822513
仅规模,2017-08-17,100,-0.007539738763461585,0.08,0.04,0.00012,-0.007659738763461585
仅规模,2017-08-24,100,0.02115757930389173,0.12,0.06,0.00017999999999999998,0.02097757930389173
仅规模,2017-08-31,100,0.004602403081902299,0.22,0.11,0.00033,0.0042724030819022984
仅规模,2017-09-07,100,0.005492722468963737,0.12,0.06,0.00017999999999999998,0.005312722468963737
仅规模,2017-09-14,100,-0.0005186516032309374,0.08,0.04,0.00012,-0.0006386516032309374
仅规模,2017-09-21,100,-0.0034519701717033347,0.08,0.04,0.00012,-0.0035719701717033345
仅规模,2017-09-28,100,0.020259327218424373,0.06,0.03,8.999999999999999e-05,0.020169327218424373
仅规模,2017-10-12,100,0.0011079386449003837,0.06,0.03,8.999999999999999e-05,0.0010179386449003837
仅规模,2017-10-19,100,0.02788069102044827,0.06,0.03,8.999999999999999e-05,0.02779069102044827
仅规模,2017-10-26,100,-0.001257174530867984,0.06,0.03,8.999999999999999e-05,-0.001347174530867984
仅规模,2017-11-02,100,0.0290157765865045,0.12,0.06,0.00017999999999999998,0.0288357765865045
仅规模,2017-11-09,100,0.0005998306625133676,0.0,0.0,0.0,0.0005998306625133676
